title,view_count,tags,duration,duration_string,channel,channel_url,channel_follower_count
"Nelly Wap ""Up Next"" (Off The Porch Live Performance)",4637,dirtyglovebastard;dirty glove bastard;dgb;dgb off the porch;dirty glove bastard off the porch;off the porch;live performance;Nelly Wap;Nelly Wap UpNext;Nelly Wap live performance;Nelly Wap off the porch;Nelly Wap off the porch live performance;Nelly Wap dirty glove bastard;off the porch live performance;dirty glove bastard live performance;DGB live performance,175,2:55,DGB Media,https://www.youtube.com/channel/UC8kf66DpkoHiPlpylPuXMqw,605000
JENNIE & Dua Lipa - Handlebars (Official Video),33919328,JENNIE;Jennie Kim;JENNIE MV;JENNIE Solo;ZEN;Ruby;JENNIE Ruby;Mantra;JENNIE Album;JENNIE New Music;JENNIE New Song;This That Pretty Girl Mantra;JENNIE Mantra;JENNIE from BLACKPINK;BLACKPINK;BLACKPINK JENNIE;Dance;Fashion;KPop;BLINKs;OddAtelier;Odd Atelier;Love Hangover;ExtraL;Like JENNIE;JENNIE Lyrics;JENNIE new album;Ruby Album;JENNIE Handlebars;JENNIE Dua Lipa;JENNIE Dua;Future Nostalgia;Radical Optimism;trip and fall in love,211,3:31,JENNIE,https://www.youtube.com/channel/UCN9_L9lA9kqJbGANLRus_1A,16100000
SHOOP - CAPRIS (Official Music Video),37164,indie pop;alt pop;indie pop 2025;alternative pop;male indie artists;indie pop music video;new indie music;underrated indie artists;indie pop vibes;bedroom pop;chill indie pop;late night drive songs;summer indie vibes;feel good indie music;songs like dominic fike;songs like role model;malcolm todd music;sombr music;junior varsity band;the 1975 vibes;aesthetic indie songs;viral indie pop;indie pop rising artist;alt pop playlist,229,3:49,SHOOP,https://www.youtube.com/channel/UCWT8LeR0mwoqoDbKeMmgxyQ,43
Miley Cyrus - End of the World (Official Video),29225841,Miley;Something Beautiful;Miley Something Beautiful;New Miley;Miley Cyrus Album;Something Beautiful Album;Miley Trailer;Miley Visuals;Miley Film;Miley Music Video;Used To Be Young;Endless Summer Vacation;Flowers;can buy myself flowers;River;Jaded;Plastic Hearts;She Is Coming;Younger Now;Miley Cyrus Her Dead Petz;Bangerz;Can’t Be Tamed;The Time Of Our Lives;Breakout;Meet Miley Cyrus;Hannah Montana;Wrecking Ball;We Can’t Stop,252,4:12,Miley Cyrus,https://www.youtube.com/channel/UCdI8evszfZvyAl2UVCypkTA,19900000
Ravyn Lenae - Love Me Not (Official Music Video),25353734,Ravyn Lenae;Raven Lenae;Rayvn Lenae;Ravyn Lenae Love Me Not;Love Me Not;Love Me Not Ravyn Lenae;Ravyn Lenae One Wish;Ravyn Lenae Genius;Birds Eye;Birds Eye Ravyn Lenae;Ravyn Lenae Birds Eye;Ravyn Lenae Concert;ravyn Lenae Live;Rayvn Lenae Sticky;Ravyn Lenae Skin Tight;Ravyn Lenae Moon Shoes;Ravyn Lenae AT&T Block Party;Ravyn Lenae Performance;I miss you come here;Ravyn Lenae Hypnos;Ravyn Lenae Doechii;Ravyn Lenae Steve Lacy,219,3:39,Ravyn Lenae,https://www.youtube.com/channel/UCtgNg5yxCyfjEE7Q7KeSmBw,203000
Tate McRae - It's ok I'm ok (Official Video),55388007,New Tate McRae;you can have him anyway;he so perfect;girl what version;THINK LATER Tate McRae;uh oh dance tate mcrae;exes tate mcrae;it is what it is and was what it was;greedy tate mcrae;baby dont get greedy;would want myself;tubegirl;think later world tour;its ok im ok tate mcrae;tate mcrae its ok im ok official video;sean bankhead;sabrina carpenter;chappell roan;olivia rodrigo;gracie abrams;tate mcrae new music 2024;tate mcrae dancing,182,3:02,Tate McRae,https://www.youtube.com/channel/UC-yW8iz7ICKv_bhuxLtcJaw,6320000
Myles Smith - Nice To Meet You (Official Video),32203892,Myles Smiht;Mylse Smith;Myels Smith;Mtles Smith;Mules Smith;Mhles Smith;Mypes Smith;Mymes Smith;Mykes Smith;Mylee Smith;Mylea Smith;Myled Smith;Mylew Smith;Myles Snith;Myles Skith;Myles Sjith;Myles Smoth;Myles Smuth;Myles Smkth;Myles Smirh;Myles Smigh;Myles Smiyh;Myles Smitn;Myles Smitt;Myles Smitg;Myles Smitb;Miles Smith;Miles Smiht;Milse Smith;Miels Smith;Moles Smith;Mkles Smith;Mipes Smith;Mimes Smith,207,3:27,Myles Smith,https://www.youtube.com/channel/UCdE1usyA41BFzWwHbtlymrw,391000
Claudia Valentina - Candy (Official Video),667846,Claudia Valentina;Claudia Valentina music;Claudia Valentina meovv demo;Claudia Valentina candy;Claudia Valentina lyrics;candy;Jennie mantra;girls to the yard;baddie tunes;femme fatale;my candy brings all the girls to the yard;kelis candy version;kelis milkshake;TikTok candy milkshake;seven Claudia Valentina;baddie playlist pop;meovv;drop top;quad;my milkshake brings all the boys to the yard;kelis;kelis milkshake lyrics;Pharrell williams,120,2:00,Claudia Valentina,https://www.youtube.com/channel/UCzcy-EepQ3Snt-twOTZ4hgg,23900
Lady Gaga - Disease (Official Music Video),46125355,Lady Gaga;Interscope Records;Pop,261,4:21,Lady Gaga,https://www.youtube.com/channel/UC07Kxew-cMIaykMOkzqHtBQ,29600000
Tyla - PUSH 2 START (Official Music Video),111453988,tyla;new artist;getting late;tyla to last;to last tyla;to last;last;kooldrink;epic;epic records;new music;fax records;electronic;electronic music;dance music;dj lag;overdue;tyla been thinking;been thinking tyla;been thinking;ayra starr;ayra starr tyla;tyla ayra starr girl next door;girl next door;tyla girl next door;ayra starr girl next door;girl next door tyla ayra starr;water;tyla water;water tyla;push start,158,2:38,Tyla,https://www.youtube.com/channel/UCr2xjaS7CIx1OY7hYwrXb8A,5070000
Coldplay - ALL MY LOVE (Official Video),46253970,,240,4:00,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,28100000
JENNIE - Mantra (Official Video),208325690,Jennie Kim;JENNIE MV;JENNIE Solo;ZEN;Ruby;JENNIE Album;JENNIE New Music;JENNIE New Song;This That Pretty Girl Mantra;JENNIE Mantra;JENNIE from BLACKPINK;BLACKPINK;BLACKPINK JENNIE;Dance;Fashion;KPop;BLINKs;OddAtelier;Odd Atelier;JENNIE;K-Pop;Mantra,147,2:27,JENNIE,https://www.youtube.com/channel/UCN9_L9lA9kqJbGANLRus_1A,16100000
The Weeknd - Open Hearts (Official Video),23070337,The Weeknd;XO Republic Records,320,5:20,The Weeknd,https://www.youtube.com/channel/UCF_fDSgPpBQuh1MsUTgIARQ,38700000
Insãne Shinobi & Johnnie Noct - REVENGE (Official Music Video),6174,revenge xxxtentacion;revenge;Rap;jpegmafia;jpegmafia type beat;xxxtentacion type beat;xxxtentacion songs;alternative rock;anime edits;childish gambino;music videos 2025;Music Video;music videos rap;japanese rap music;japanese rapper;kanye west;tyler the creator;nujabes;mf doom;mf doom type beat;jid;jid type beat;insane;insaneshinobi;shinobi;ninja turtles;official music video;denzel curry;denzel curry type beat;andre 3000;andre 3000 type beat;outkast,169,2:49,Insãne Shinobi,https://www.youtube.com/channel/UCgsFH_OLVCcqzIfR8N6Ka9Q,1200
